institucion,puesto,requisitos,departamento,plazas,salario,fecha_limite,url,fecha_extraccion
UNIVERSIDAD NACIONAL DE INGENIERÍA(UNI),CAS N° 001: TECNICO EN REMUNERACIONES,Egresado(a) Universitaria Administración industrial o Contabilidad o Secretariado o afines.,Lima,1,2950,20/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-001-tecnico-remuneraciones-universidad-nacional-ingenieria-uni-lima-599678.html,2026-05-12T23:14:26
MIGRACIONES,CAS N° 109: AUXILIAR EN CONTROL DE CALIDAD,Secundaria Completa,Lima,1,2500,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-109-auxiliar-control-calidad-migraciones-lima-599677.html,2026-05-12T23:14:26
UNIVERSIDAD NACIONAL DE INGENIERÍA(UNI),CAS N° 001: ANALISTA DE LABORATORIO,Bachiller Universitaria Ing. Química o Química.,Lima,1,2750,20/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-001-analista-laboratorio-universidad-nacional-ingenieria-uni-lima-599676.html,2026-05-12T23:14:26
UNIVERSIDAD NACIONAL DE INGENIERÍA(UNI),CAS N° 001: ASISTENTE DE INVESTIGACION,Egresado(a) Universitaria Ingeniería Industrial o Administración de Empresas o afines.,Lima,1,3967,20/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-001-asistente-investigacion-universidad-nacional-ingenieria-uni-lima-599675.html,2026-05-12T23:14:26
UNIVERSIDAD NACIONAL DE INGENIERÍA(UNI),CAS N° 001: TÉCNICO/A ADMINISTRATIVO/A,Egresado Técnico Administración o Contabilidad o Secretariado o Computación o afines.,Lima,1,2300,20/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-001-tecnico-administrativo-universidad-nacional-ingenieria-uni-lima-599674.html,2026-05-12T23:14:26
HOSPITAL DOCENTE DE CAJAMARCA,CAS N° 001 - CÓD. 002013: INGENIERO CIVIL - ESPECIALISTA EN INFRAESTRUCTURA HOSPITALARIA,Título en la carrera universitaria de Ingeniería civil,Cajamarca,1,3200,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-001-cod-ingeniero-civil-especialista-infraestructura-hospitalaria-hospital-docente-cajamarca-599663.html,2026-05-12T23:14:26
HOSPITAL DOCENTE DE CAJAMARCA,CAS N° 001 - CÓD. 002012: INGENIERO DE SISTEMAS - ESPECIALISTA EN DESARROLLO INFORMÁTICO,Título en la carrera universitaria de ingeniería de sistemas,Cajamarca,1,3200,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-001-cod-ingeniero-sistemas-especialista-desarrollo-informatico-hospital-docente-cajamarca-599662.html,2026-05-12T23:14:26
HOSPITAL DOCENTE DE CAJAMARCA,CAS N° 001 - CÓD. 002011: INGENIERO DE SISTEMAS - ESPECIALISTA EN TELECOMUNICACIONES,Título en la carrera universitaria de ingeniería de sistemas,Cajamarca,1,3200,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-001-cod-ingeniero-sistemas-especialista-telecomunicaciones-hospital-docente-cajamarca-599661.html,2026-05-12T23:14:26
HOSPITAL DOCENTE DE CAJAMARCA,CAS N° 001 - CÓD. 002010: MÉDICO ESPECIALISTA EN PATOLOGÍA CLÍNICA,Título en la carrera universitaria de Medicina Humana. Titulo de especialidad en patología clínica,Cajamarca,1,7300,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-001-cod-medico-especialista-patologia-clinica-hospital-docente-cajamarca-599660.html,2026-05-12T23:14:26
HOSPITAL DOCENTE DE CAJAMARCA,"CAS N° 001 - CÓD. 002008, CÓD. 002009: MÉDICO ESPECIALISTA EN CARDIOLOGÍA",Título en la carrera universitaria de Medicina Humana. Titulo de especialidad en cardiología,Cajamarca,2,7300,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-001-cod-medico-especialista-cardiologia-hospital-docente-cajamarca-599659.html,2026-05-12T23:14:26
